,trade_nm,legal_name,street_addr_1_txt,cty_nm,st_cd,zip_cd,nname,nzip,snum
2222,Ferrell & Associates,"Ferrell & Associates, Inc.","843 Pinewood Way, SW",Live Oak,FL,32064.0,ferrell & associates,32064,843
2230,Bimini Bar,Bimini Bar,412 S.E. 32nd Street,Fort Lauderdale,FL,33316.0,bimini bar,33316,412
2233,Cognition Systems LLC,Cogniition Systems LLC,349 NW 153rd AVe,Pembroke Pines,FL,33028.0,cognition systems llc,33028,349
2257,Harris,Harris Corporation,1025 W. Nassa Blvd,Melbourne,FL,32919.0,harris,32919,1025
2262,Command Security Corporation,Command Security Corporation,"5775 Blue Lagoon Drive, Suite 310",Miami,FL,33126.0,command security corporation,33126,5775
2263,Majestic International,"Majestic International Group, Inc.","168 SE 1st St, Suite 501",Miami,FL,33131.0,majestic international,33131,168
2279,Howard Johnson,TRISHUL INC,81 Commerce Blvd,Midway,FL,32343.0,howard johnson,32343,81
2286,City of Fort Pierce,,117 South 2nd Street,Fort Pierce,FL,34950.0,city of fort pierce,34950,117
2342,Barbara Coffee,Barbara Coffee,1248 Arlington Place,Winter Park,FL,32789.0,barbara coffee,32789,1248
2351,"Northwest Florida Facilities Management, Inc.","Northwest Florida Facilities Management, Inc.",137 Eglin Parkway SE,Fort Walton Beach,FL,32548.0,northwest florida facilities management inc,32548,137
2368,"Kenneth DeVane, Inc. -AGER","Kenneth DeVane, Inc.",P.O. Box 58,Fort Meade,FL,33841.0,kenneth devane inc -ager,33841,58
2417,"By Driver, Inc.",By Driver Inc,"8617 E. Colonial Drive, Ste. 1500",Orlando,FL,32817.0,by driver inc,32817,8617
2427,City of Gulf Breeze,City of Gulf Breeze,311 Fairpoint Dr.,Gulf Breeze,FL,32561.0,city of gulf breeze,32561,311
2431,"Genett Group, Inc","Genett Group, Inc",Tampa Federal Building,Tampa,FL,33613.0,genett group inc,33613,Tampa Federal Building
2475,Gilmer Noe Pacheco-Perez (GNP) FLC,Gilmer Noe Pacheco-Perez (GNP) FLC,27208 NW 62nd,High Springs,FL,32643.0,gilmer noe pacheco-perez (gnp) flc,32643,27208
2489,MSI Commercial,"MSI, Inc.",3020 Hartley Rd Ste 100,Jacksonville,FL,32257.0,msi commercial,32257,3020
2512,Familia Group Home,"Familia Group Home, Inc.",17883 SW 155 Court,Miami,FL,33187.0,familia group home,33187,17883
2513,"CLP Resources, Inc.","True Blue, Inc","4311 W Waters Ave., Ste 310",Tampa,FL,33614.0,clp resources inc,33614,4311
2538,"Martinez & Sons Trucking, Inc.","Martinez & Sons Trucking, Inc.",2350 Hookers Point Road,Clewiston,FL,33440.0,martinez & sons trucking inc,33440,2350
2544,Palm Tran,"Palm Tran, Inc.",3201 Electronics Way,West Palm Beach,FL,33417.0,palm tran,33417,3201
2551,Daniel Johnston,Daniel C. Johnston,4 Kansas Place,Palm Coast,FL,32164.0,daniel johnston,32164,4
2564,Hyatt Regency Bonaventure,"Bonaventure Hotel Associates, LTD",250 Racquet Club Drive,Weston,FL,33326.0,hyatt regency bonaventure,33326,250
2566,T.G. Russell Inc.,"Russell, Timothy",274 Bermuda Beach Drive,Fort Pierce,FL,34949.0,tg russell inc,34949,274
2577,Body Shop,Body Shop of America Inc.,5100 N 9th Av,Pensacola,FL,32504.0,body shop,32504,5100
2584,Venice Regional Bayfront Health,"Venice HMA, LLC",540 The Rialto,Venice,FL,34285.0,venice regional bayfront health,34285,540
2599,Nanak's Landscaping,"Nanak's Landscaping, Inc.","10719 100th St, South",Boynton Beach,FL,33437.0,nanaks landscaping,33437,10719
